Brewery,Beer Name,Description,ABV,Festival Location
Lost Generation,An Age Of Islands,Hazy IPA w/ Nelson Sauvin & Riwaka,6.6%,Rodan
Lost Generation,There Are Always Hops,"American IPA w/ Strata, Simcoe & Mosaic",6.7%,Rodan
Magnanimous,Crunchy Cinnamon Squares,Bourbon Barrel-Aged Imperial Stout w/ Cinnamon & Vanilla (Edmund's Oast Collab.),11.0%,Gargoyle
Magnanimous,Juice Lord Have Mercy,"Hazy IPA w/ Citra, Mosaic & Vic Secret",7.5%,Gargoyle
Magnify,The Power Of Science,"Hazy Double IPA w/ Strata, Nelson Sauvin, Citra & Galaxy",8.0%,Medusa
Magnify,Trade Proof: 7th Anniversary,"Fruited Sour Ale w/ Banana, Guava, Cotton Candy & Vanilla Ice Cream",4.5%,Medusa
Maine,Black Barn Program No. 36,Altbier,5.2%,Cyclops
Maine,Wolfe's Neck,"American IPA w/ Mosaic, El Dorado & Sabro",6.5%,Cyclops
Marlowe,Eager to Share,Hazy Pale Ale w/ Citra & Mosaic,5.4%,Mothra
Marlowe,Up Until Now,Kölsch,4.6%,Mothra
Mast Landing,Bourbon Barrel-Aged Imperial Gunner's Daughter 2021,Bourbon Barrel-Aged Imperial Stout w/ Milk Sugar,11.3%,Jabberwock
Mast Landing,October Sun,"Hazy IPA w/ Citra, Simcoe & Idaho 7",7.3%,Jabberwock
Mikerphone,Of Your Energy ,Polotmavý,5.0%,Nessie
Mikerphone,The Get-Fresh Flow,Hazy Double IPA w/ Nelson Sauvin & Mosaic,8.3%,Nessie
Mindful,Flower Crush,Wild Ale Blended w/ Skin Contact Piquette Wine,5.0%,Nessie
Mindful,Let's Swim To The Moon,Oak-Lagered Czech Pilsner w/ Brettanomyces,5.2%,Nessie
Modestman,The Most Beautifullest In This World,Hazy Double IPA w/ Citra,8.4%,Rodan
Modestman,Gravitas,Czech Pilsner,5.5%,Rodan
Modestman,Hard Rass,Fruited Sour Ale w/ Raspberries,8.0%,Rodan
Modestman,Mystic Warrior,Hazy IPA w/ Citra & Nelson Sauvin,7.0%,Rodan
Monkish,Japoolzi,Hazy Triple IPA (Trillium & The Veil Collab.),10.5%,Gargoyle
Monkish,LGA2LGB,Hazy Triple IPA (Other Half Collab.),10.0%,Gargoyle
Monkish,TXXTH,Bourbon Barrel-Aged Imperial Stout w/ Coconut & Vanilla,15.0%,Gargoyle
Mortalis,As Above So Below,Imperial Stout w/ Coffee,10.0%,Demogorgon
Mortalis,Gemini: Circle the Wagons,"Fruited Sour Ale w/ Blueberry, Raspberry, Marshmallows & Walnut",7.0%,Demogorgon
Narrow Gauge,Cloud City,"Hazy IPA w/ Citra, Mosaic, Galaxy & El Dorado",7.0%,Drogon
Narrow Gauge,Foeder Third Of The Way To Marz,Foeder-Lagered Märzen,5.7%,Drogon
New Anthem,A Single Drop Of Rain,Mixed Fermentation Ale w/ Aged Centennial Hops,5.5%,Drogon
New Anthem,Clapback: Galaxy TDH,Hazy Double IPA w/ Citra & Galaxy,8.0%,Drogon
Nighthawk,Mid-Day Sun,Mexican Lager,4.8%,Demogorgon
Nighthawk,pHat Watermelon Lime,Fruited Sour Ale w/ Watermelon & Lime,4.0%,Demogorgon
North Park,Bourbon Barrel-Aged Walnut Brownie Points,"Bourbon BA Imperial Stout w/ Walnuts, Cocoa Nibs, Vanilla & Milk Sugar (Equilibrium Collab.)",15.0%,Jabberwock
North Park,NPBC6 ,Bourbon Barrel-Aged Imperial Stout w/ Coconut & Vanilla,12.0%,Jabberwock
North Park,NPBC6: VIP Edition,"Bourbon Barrel-Aged Imperial Stout w/ Coconut, Vanilla & Coffee",12.0%,Jabberwock
North Park,Pseudo-Fu! ,"Hazy Double IPA w/ Citra, HBC-586 & Peacharine (Toppling Goliath Collab.)",8.5%,Jabberwock
North Park,Sunny: Idaho 7 & Riwaka,"Hazy Pale Ale w/ Citra, Idaho 7 & Riwaka",5.5%,Jabberwock
Ocelot,Big Cat,"Hazy Double IPA w/ Nelson Sauvin, Citra & Galaxy (The Veil Collab.)",9.0%,Demogorgon
Ocelot,Witching Hour,Märzen,5.9%,Demogorgon
Odd By Nature,Kolsch Bandicoot ,Kölsch,4.9%,Drogon
